"product_sku","design_number","stock_quantity","category","size","color"
SET403-KR-NP-L,SET403,44,Set,L,Green
SET340-KR-NP-L,SET340,1,Set,L,Maroon
JNE3537-KR-M,JNE3537,3,Kurta,M,Multicolor
J0296-DR-S,J0296,1,Dress,S,Off White
JNE3430-KR-XS,JNE3430,2,Kurta,XS,Yellow
CH211-BLACK-S,CH211,3,Leggings,S,Black
JNE3265-KR-XL,JNE3265,4,Kurta,XL,Light Green
JAN8676-KR-XL,JAN8676,4,Kurta,XL,Mustard
J0295-DR-M,J0295,7,Dress,M,Black
JNE3270-KR-XXL,JNE3270,4,Kurta,XXL,Maroon
J0339-DR-XXL,J0339,20,Dress,XXL,Green
SET058-KR-NP-XL,SET058,14,Kurta Set,XL,Teal
J0418-TP-XS,J0418,2,Top,XS,Yellow
JNE3763-KR-XXL,JNE3763,113,Kurta,XXL,Teal
J0220-BL-L,J0220,19,Blouse,L,Maroon
BL103-M,BL103,3,Blouse,M,Maroon
JAN8663-TP-XXL,JAN8663,13,Top,XXL,White
SET274-KR-PP-XXXL,SET274,3,Kurta Set,XXXL,Yellow
JNE3535-KR-XS,JNE3535,10,Kurta,XS,Turquoise
J0421-TP-XS,J0421,45,Top,XS,Teal
JNE3640-TP-XS,JNE3640,18,Top,XS,Green
JNE1977-KR-237-XXXL,JNE1977,2,Kurta,XXXL,Peach
JNE3758-KR-XS,JNE3758,3,Kurta,XS,Maroon
SET322-KR-SHA-XL,SET322,15,Set,XL,Maroon
SET240-KR-PP-L,SET240,17,Kurta Set,L,Yellow
SET183-KR-DH-XL,SET183,116,Kurta Set,XL,Olive Green
JNE3675-TU-L,JNE3675,37,Tunic,L,Pink
JNE3503-KR-L,JNE3503,1,Kurta,L,Light Green
J0142-KR-L,J0142,2,Kurta,L,Orange
J0110-SKD-XS,J0110,63,Kurta Set,XS,Black
NW038-ST-SR-L,NW038,2,Night Wear,L,Blue
JNE3610-KR-S,JNE3610,50,Kurta,S,Teal Green
J0132-KR-XS,J0132,6,Kurta,XS,Orange
JNE2100-KR-144-S,JNE2100,76,Kurta,S,Teal
JNE3686-TU-XL,JNE3686,2,Tunic,XL,White
NW015-TP-PJ-XXXL,NW015,2,Night Wear,XXXL,Grey
JNE3903-KR-M,JNE3903,40,Kurti,M,Brown
J0373-KR-XL,J0373,3,Kurta,XL,Orange
JNE3849-KR-M,JNE3849,8,Kurta,M,Navy Blue
JNE3458-KR-M,JNE3458,24,Kurta,M,Brown
SET310-KR-NP-L,SET310,6,Set,L,Green
JNE2145-KR-406-M,JNE2145,3,Kurta,M,Blue
J0133-KR-L,J0133,2,Kurta,L,Maroon
SAR161,SAR161,52,Saree,FREE,Purple
JNE3574-KR-M,JNE3574,1,Kurta,M,Light Green
SET275-KR-NP-S,SET275,6,Set,S,Blue
JNE3756-KR-S,JNE3756,48,Kurta,S,Olive Green
JNE3562-KR-XXL,JNE3562,5,Kurta,XXL,Peach
J0120-TP-XS,J0120,1,Top,XS,Black
SAR051,SAR051,46,Saree,FREE,Black
JNE3672-TU-S,JNE3672,3,Top,S,Red
SET132-KR-NP-S,SET132,38,Kurta Set,S,Light Green
JAN8669-DR-XXL,JAN8669,1,Dress,XXL,Light Yellow
J0343-DR-XS,J0343,131,Dress,XS,Navy Blue
JNE3886-KR-L,JNE3886,67,Kurta,L,Red
JNE3607-KR-XXXL,JNE3607,181,Kurta,XXXL,Maroon
J0048-TP-L,J0048,2,Top,L,Lime Green
J0211-DR-L,J0211,11,Dress,L,Maroon
J0400-DR-L,J0400,4,Dress,L,Sea Green
NW013-ST-SR-L,NW013,11,Night Wear,L,Turquoise
J0034-SET-XXL,J0034,4,Kurta Set,XXL,Lemon
JNE3463-KR-M,JNE3463,153,Kurta,M,Light Green
NW037-TP-SR-XL,NW037,9,Night Wear,XL,Pink
SET247-KR-SHA-XL,SET247,3,Kurta Set,XL,Teal
BTM035-NP-XS,BTM035,12,Pant,XS,Mustard
JNE3622-KR-XXL,JNE3622,6,Kurta,XXL,Black
SET192-KR-NP-XXL,SET192,7,Kurta Set,XXL,Teal
JNE3398-KR-XXXL,JNE3398,3,Kurta,XXXL,Yellow
J0009-SKD-L,J0009,30,Kurta Set,L,Pink
J0352-KR-L,J0352,22,Kurta,L,Green
BL085-XL,BL085,13,Blouse,XL,Orange
SET359-KR-NP-XXL,SET359,13,Set,XXL,Navy Blue
SET209-KR-PP-XS,SET209,27,Kurta Set,XS,Pink
J0165-TP-L,J0165,3,Top,L,Orange
J0333-DR-XXL,J0333,65,Dress,XXL,Blue
J0078-SET-XL,J0078,5,Kurta Set,XL,Pink
SET193-KR-NP-S,SET193,29,Kurta Set,S,Pink
JNE3862-TU-XXL,JNE3862,5,Tunic,XXL,Maroon
JNE3910-KR-S,JNE3910,52,Kurta,S,Navy Blue
SET196-KR-NP-L,SET196,51,Kurta Set,L,Red
JNE3549-KR-XL,JNE3549,7,Kurta,XL,Maroon
JNE3457-KR-M,JNE3457,46,Kurta,M,Turquoise Blue
BTM008-M,BTM008,1,Pant,M,Grey
JNE3440-KR-XXL,JNE3440,123,Kurta,XXL,White
SET295-KR-NP-XL,SET295,2,Kurta Set,XL,Black
JNE3777-KR-XS,JNE3777,45,Kurta,XS,Maroon
J0072-KR-XL,J0072,1,Kurta,XL,Mustard
SET320-KR-NP-XXL,SET320,40,Set,XXL,Green
JNE3784-KR-XXL,JNE3784,112,Kurta,XXL,Green
SET386-KR-NP-XXXL,SET386,3,Set,XXXL,Light Pink
SET277-KR-NP-XXL,SET277,9,Kurta Set,XXL,Turquoise
J0020-SET-L,J0020,2,Set,L,Yellow
J0166-DR-XL,J0166,3,Dress,XL,Pink
JNE1977-KR-237-XL,JNE1977,11,Kurta,XL,Peach
BTM053-SHA-S,BTM053,41,Sharara,S,Red
JNE1234-MULTI-KR-032-XXXL,JNE1234,4,Kurta,XXXL,Multicolor
J0009-SKD-XXL,J0009,13,Kurta Set,XXL,Pink
SET204-KR-DPT-XS,SET204,3,Kurta Set,XS,Green
JNE3822-KR-XXXL,JNE3822,2,Kurta,XXXL,Blue
JNE3648-TP-XL,JNE3648,5,Top,XL,Cream
JNE3384-KR-XXXL,JNE3384,7,Kurta,XXXL,Turquoise Blue
CH205-YELLOW-S,CH205,12,Leggings,S,Yellow
SET401-KR-NP-M,SET401,7,Set,M,Black
J0323-CD-XXL,J0323,2,Cardigan,XXL,Cream
J0223-SKD-M,J0223,30,Set,M,Purple
J0140-SET-S,J0140,3,Kurta Set,S,White
JNE3719-KR-XXXL,JNE3719,2,Kurta,XXXL,Teal Green
J0314-KR-XXL,J0314,3,Kurta,XXL,Multicolor
BL021-71BLACK,BL021,628,Blouse,FREE,Black
J0058-DR-S,J0058,3,Dress,S,Blue
J0022-KR-S,J0022,1,Kurta,S,Lemon Yellow
J0035-KR-XXXL,J0035,2,Kurta,XXXL,Lemon Yellow
SET258-KR-PP-M,SET258,1,Kurta Set,M,Off White
SET410-KR-NP-XXXL,SET410,36,Set,XXXL,Green
JNE3870-DR-M,JNE3870,4,Dress,M,Orange
J0205-TP-M,J0205,2,Top,M,Peach
JNE3570-KR-L,JNE3570,1,Kurta,L,Light Green
JNE3566-KR-S,JNE3566,44,Kurta,S,Dark Green
J0108-SKD-M,J0108,4,Kurta Set,M,Light Green
SET345-KR-NP-XL,SET345,74,Kurta Set,XL,Pink
JNE3483-KR-XS,JNE3483,33,Kurta,XS,Grey
SET317-KR-PP-M,SET317,5,Kurta Set,M,Olive Green
JNE3798-KR-L,JNE3798,3,Kurta,L,Teal
SET055-KR-NP-L,SET055,11,Kurta Set,L,Pink
MEN5013-KR-XXL,MEN5013,6,Kurta,XXL,Maroon
J0238-LCD-XS,J0238,1,Lehenga Choli,XS,White
JNE3420-KR-M,JNE3420,6,Kurta,M,Pink
BTM052-SHA-S,BTM052,42,Sharara,S,Pink
SET376-KR-NP-L,SET376,9,Set,L,Dark Green
JNE3642-TP-XS,JNE3642,3,Top,XS,Peach
JNE3763-KR-XL,JNE3763,69,Kurta,XL,Teal
JAN8612-KR-NP-S,JAN8612,5,Set,S,Yellow
J0122-TP-XS,J0122,3,Top,XS,White
J0199-SET-XXXL,J0199,4,Set,XXXL,Black
JNE3413-KR-L,JNE3413,11,Kurta,L,Navy Blue
NW013-ST-SR-XXL,NW013,18,Night Wear,XXL,Turquoise
J0293-DR-M,J0293,1,Dress,M,White
BTM044-PP-XS,BTM044,55,Palazzo,XS,Maroon
JNE3712-TP-L,JNE3712,6,Top,L,White
JNE3688-TU-XS,JNE3688,2,Tunic,XS,Green
JNE3486-KR-L,JNE3486,90,Kurta,L,Light Green
NW036-ST-SR-L,NW036,24,Night Wear,L,White
JNE3899-KR-S,JNE3899,22,Kurta,S,Yellow
SET383-KR-NP-S,SET383,42,Set,S,Light Green
JNE3674-TU-M,JNE3674,130,Top,M,Black
JNE3449-KR-L,JNE3449,3,Kurta,L,Black
J0147-SET-XXXL,J0147,15,Kurta Set,XXXL,Teal
J0145-SET-XXXL,J0145,1,Kurta Set,XXXL,Black
J0176-TP-XS,J0176,49,Top,XS,Green
JNE3550-KR-M,JNE3550,1,Kurta,M,Dark Green
JNE3857-KR-XL,JNE3857,8,Kurta,XL,Maroon
SET408-KR-NP-XXXL,SET408,3,Set,XXXL,Magenta
JNE3749-KR-XXXL,JNE3749,12,Kurta,XXXL,Blue
J0220-BL-XL,J0220,28,Blouse,XL,Maroon
JNE3570-KR-XL,JNE3570,1,Kurta,XL,Light Green
J0291-JS-S,J0291,4,Jumpsuit,S,White
JNE3661-TP-XXL,JNE3661,5,Top,XXL,Pink
J0070-KR-XXL,J0070,1,Kurta,XXL,Light Green
JNE3624-KR-XXL,JNE3624,1,Kurta,XXL,Taupe
JNE3701-KR-M,JNE3701,129,Kurta,M,Orange
JNE3475-KR-L,JNE3475,7,Kurta,L,Powder Blue
SET217-KR-PP-XXL,SET217,9,Kurta Set,XXL,Sea Green
NW037-TP-SR-L,NW037,3,Night Wear,L,Pink
JNE3559-KR-XXL,JNE3559,5,Kurta,XXL,Grey
SET324-KR-NP-XXXL,SET324,8,Kurta Set,XXXL,Peach
J0194-DR-S,J0194,12,Dress,S,Green
JNE3405-KR-XXL,JNE3405,1234,Kurta,XXL,Pink
SET243-KR-PP-XXL,SET243,3,Kurta Set,XXL,Blue
SET043-KR-NP-L,SET043,58,Kurta Set,L,Turquoise Blue
JNE3516-KR-XXXL,JNE3516,1,Kurta,XXXL,Mustard
JAN8662-KR-NP-M,JAN8662,1,Kurta Set,M,Aqua Green
SET356-KR-NP-S,SET356,17,Set,S,Sea Green
SET438-KR-NP-XXXL,SET438,61,Set,XXXL,Pink
BL040-65PINK,BL040,31,Blouse,FREE,Pink
SET128-KR-DH-L,SET128,16,Set,L,Beige
SET364-KR-NP-S,SET364,13,Set,S,Yellow
J0101-DR-XXXL,J0101,5,Dress,XXXL,Light Green
JNE3405-KR-XS,JNE3405,1230,Kurta,XS,Pink
J0098-TP-XL,J0098,1,Top,XL,Mustard
SET414-KR-NP-XL,SET414,27,Set,XL,Navy Blue
JNE3408-KR-XXL,JNE3408,24,Kurta,XXL,Black
J0305-DR-S,J0305,3,Dress,S,Yellow
SET415-KR-NP-L,SET415,31,Set,L,Green
J0398-DR-L,J0398,13,Dress,L,Wine
CH207-PINK-S,CH207,5,Leggings,S,Pink
JNE3648-TP-S,JNE3648,7,Top,S,Cream
JAN8654-KR-M,JAN8654,3,Kurta,M,Mustard
JNE3647-TP-XL,JNE3647,1,Top,XL,Pink
J0243-DR-XS,J0243,31,Dress,XS,Off White
JNE3467-KR-XS,JNE3467,9,Kurta,XS,Black
JNE3818-KR-M,JNE3818,5,Kurta,M,Orange
JNE3068-KR-L,JNE3068,45,Kurta,L,Black
SET188-KR-NP-XXL,SET188,13,Kurta Set,XXL,Pink
J0165-TP-XXL,J0165,2,Top,XXL,Orange
MEN5008-KR-L,MEN5008,11,Kurta,L,Blue
J0344-TP-XXXL,J0344,157,Top,XXXL,Navy Blue
NW034-TP-PJ-XXXL,NW034,3,Night Wear,XXXL,Peach
SET144-KR-NP-XXL,SET144,23,Kurta Set,XXL,Pink
NW016-ST-SR-XL,NW016,7,Night Wear,XL,White
JNE3655-TP-M,JNE3655,1,Top,M,Blue
SET297-KR-NP-XXL,SET297,3,Kurta Set,XXL,Yellow
JNE3160-KR-L,JNE3160,20,Kurta,L,White
BTM033-NP-XXL,BTM033,3,Pant,XXL,Turquoise Blue
JNE3843-KR-XL,JNE3843,10,Kurta,XL,Green
JNE3649-TP-S,JNE3649,2,Top,S,Black
JNE3273-KR-S,JNE3273,6,Kurta,S,Maroon
JNE3743-TP-S,JNE3743,7,Top,S,Light Green
SET230-KR-PP-XS,SET230,23,Kurta Set,XS,Blue
JNE3424-KR-XXL,JNE3424,11,Kurta,XXL,Blue
CH209-BIEGE-XL,CH209,4,Leggings,XL,Beige
NW016-ST-SR-XXL,NW016,16,Night Wear,XXL,White
JNE3665-TP-XS,JNE3665,8,Top,XS,Grey
J0147-SET-S,J0147,2,Kurta Set,S,Teal
J0246-SKD-M,J0246,31,Kurta Set,M,Off White
JNE3802-KR-XL,JNE3802,6,Kurta,XL,Orange
MEN5005-KR-XXXL,MEN5005,7,Kurta,XXXL,Multicolor
J0138-KR-S,J0138,2,Kurta,S,Red
JNE3849-KR-XXL,JNE3849,2,Kurta,XXL,Navy Blue
MEN5002-KR-XL,MEN5002,12,Kurta,XL,Blue
JNE3469-KR-M,JNE3469,1,Kurta,M,Grey
JNE3710-DR-XXL,JNE3710,5,Dress,XXL,Blue
JNE3617-KR-XS,JNE3617,13,Kurta,XS,Black
JNE3780-KR-M,JNE3780,112,Kurta,M,Navy Blue
JNE3664-TP-M,JNE3664,2,Top,M,Green
SET291-KR-PP-M,SET291,13,Kurta Set,M,Teal
SET228-KR-PP-XXXL,SET228,2,Kurta Set,XXXL,Yellow
J0345-SET-XXL,J0345,25,Set,XXL,Cream
SAR157,SAR157,32,Saree,FREE,Multicolor
JNE3416-KR-L,JNE3416,16,Kurta,L,Brown
JAN8645-DR-M,JAN8645,4,Dress,M,White
JNE3400-KR-S,JNE3400,5,Kurta,S,Brown
BTM042-PP-XXL,BTM042,6,Palazzo,XXL,Mustard
BL006-54BLACK,BL006,112,Blouse,FREE,Black
SET274-KR-PP-XXL,SET274,39,Kurta Set,XXL,Yellow
SET214-KR-DPT-L,SET214,2,Kurta Set,L,Mustard
BTM044-PP-XXXL,BTM044,5,Palazzo,XXXL,Maroon
SET341-KR-NP-XL,SET341,3,Set,XL,Multicolor
SET219-KR-PP-XS,SET219,65,Kurta Set,XS,Turquoise Green
JNE3831-KR-L,JNE3831,1,Kurta,L,Teal
JNE3837-KR-XS,JNE3837,55,Kurta,XS,Black
SET393-KR-NP-XS,SET393,6,Set,XS,Blue
SET392-KR-NP-XXL,SET392,2,Set,XXL,Peach
SET262-KR-NP-L,SET262,4,Kurta Set,L,Green
JNE3698-KR-XL,JNE3698,6,Kurta,XL,White
JNE3806-KR-XXXL,JNE3806,6,Kurta,XXXL,Blue
JAN8617-KR-XL,JAN8617,5,Kurta,XL,Peach
SET199-KR-NP-XXL,SET199,7,Kurta Set,XXL,Peach
SET375-KR-NP-M,SET375,4,Set,M,Maroon
SET179-KR-PP-XS,SET179,6,Kurta Set,XS,White
JNE3365-KR-1052-XXL,JNE3365,4,Kurta,XXL,Mustard
BTM048-PP-M,BTM048,3,Palazzo,M,Green
J0371-SKD-M,J0371,2,Kurta Set,M,Teal
SET198-KR-NP-XXL,SET198,3,Kurta Set,XXL,Pink
SAR056,SAR056,2,Saree,FREE,Beige
JNE3517-KR-S,JNE3517,3,Kurta,S,Peach
J0381-SKD-M,J0381,91,Set,M,Gold
SET191-KR-PP-XS,SET191,35,Kurta Set,XS,Navy Blue
JNE2265-KR-501-XXXL,JNE2265,1,Kurta,XXXL,Purple
J0193-SET-L,J0193,2,Kurta Set,L,Mustard
SET244-KR-NP-S,SET244,35,Kurta Set,S,Pink
JNE3892-TP-S,JNE3892,68,Top,S,Light Pink
J0374-KR-S,J0374,11,Kurta,S,Green
JNE3741-KR-L,JNE3741,1,Kurta,L,Teal Green
JNE3896-KR-L,JNE3896,5,Kurta,L,Wine
JNE3787-KR-XXXL,JNE3787,7,Kurta,XXXL,Blue
JNE3565-KR-L,JNE3565,4,Kurta,L,Brown
JNE3752-KR-XS,JNE3752,10,Kurta,XS,Blue
SET393-KR-NP-S,SET393,6,Set,S,Blue
SAR113,SAR113,10,Saree,FREE,Yellow
J0287-KR-XXL,J0287,2,Kurta,XXL,Black
J0132-KR-S,J0132,1,Kurta,S,Orange
J0331-KR-XXXL,J0331,27,Kurta,XXXL,Purple
SET286-KR-NP-S,SET286,33,Set,S,Maroon
JAN8643-KR-XL,JAN8643,10,Kurta,XL,Teal
J0402-DR-M,J0402,21,Dress,M,Teal
JNE3462-KR-XXL,JNE3462,19,Kurta,XXL,Mustard
JNE3695-KR-XL,JNE3695,3,Kurta,XL,Yellow
J0204-TP-XS,J0204,5,Tunic,XS,Mustard
JNE3520-KR-XS,JNE3520,15,Kurta,XS,Mustard
JNE3907-KR-S,JNE3907,67,Kurta,S,Navy Blue
JNE3880-DR-XXL,JNE3880,34,Dress,XXL,Peach
JNE3470-KR-XS,JNE3470,23,Kurta,XS,Peach
MEN5006-KR-S,MEN5006,26,Kurta,S,Brown
J0265-KR-L,J0265,1,Kurta,L,Blue
J0167-KR-XXL,J0167,3,Kurta,XXL,Pink
BTM042-PP-XXXL,BTM042,3,Palazzo,XXXL,Mustard
J0162-SKD-XXXL,J0162,18,Kurta Set,XXXL,Mustard
JAN8660-KR-NP-S,JAN8660,1,Set,S,White
J0335-DR-S,J0335,28,Dress,S,Orange
JNE3761-KR-L,JNE3761,104,Kurta,L,Olive Green
SET193-KR-NP-XXL,SET193,32,Kurta Set,XXL,Pink
JNE3880-DR-XS,JNE3880,49,Dress,XS,Peach
JNE3615-KR-XXL,JNE3615,13,Kurta,XXL,Navy Blue
JNE3778-KR-S,JNE3778,57,Kurta,S,Green
JNE3640-TP-XL,JNE3640,6,Top,XL,Green
BTM036-PP-XL,BTM036,6,Palazzo,XL,Red
J0226-SKD-M,J0226,147,Set,M,Green
J0102-SKD-XS,J0102,19,Kurta Set,XS,Purple
JNE3703-KR-XS,JNE3703,4,Kurta,XS,Green
CH209-BIEGE-L,CH209,3,Leggings,L,Beige
SET311-KR-NP-M,SET311,56,Set,M,Yellow
MEN5004-KR-XXL,MEN5004,3,Kurta,XXL,Blue
SET384-KR-NP-S,SET384,48,Set,S,Light Yellow
SET400-KR-NP-S,SET400,73,Set,S,Blue
NW006-ST-SR-XXL,NW006,26,Night Wear,XXL,Beige
JNE3620-KR-XL,JNE3620,20,Kurta,XL,Magenta
J0341-DR-XXL,J0341,166,Dress,XXL,Blue
JNE2266-KR-490-M,JNE2266,19,Kurta,M,Black
J0237-SKD-XS,J0237,22,Kurta Set,XS,Orange
JNE3885-KR-XS,JNE3885,56,Kurta,XS,Cream
J0135-SET-XL,J0135,4,Kurta Set,XL,Green
JNE3422-KR-M,JNE3422,6,Kurta,M,Pink
JNE3672-TU-XXXL,JNE3672,3,Top,XXXL,Red
MEN5008-KR-M,MEN5008,3,Kurta,M,Blue
BTM002-XS,BTM002,158,Pant,XS,White
BTM037-PP-M,BTM037,4,Palazzo,M,Teal
J0308-DR-XXL,J0308,2,Dress,XXL,Multicolor
JAN8612-KR-NP-XL,JAN8612,16,Set,XL,Yellow
JNE3521-KR-M,JNE3521,9,Kurta,M,Turquoise
JNE3454-KR-XXL,JNE3454,33,Kurta,XXL,Peach
JNE3909-KR-S,JNE3909,63,Kurta,S,Dark Blue
SET372-KR-PP-XXL,SET372,46,Set,XXL,Maroon
SET231-KR-PP-M,SET231,2,Kurta Set,M,Cream
NW014-ST-SR-XS,NW014,25,Night Wear,XS,Blue
JNE3452-KR-XS,JNE3452,7,Kurta,XS,Navy Blue
BTM027-NP-XXXL,BTM027,16,Pant,XXXL,Green
J0399-DR-XXL,J0399,9,Dress,XXL,Rust
JNE3765-KR-M,JNE3765,103,Kurta,M,Mustard
J0343-DR-XXXL,J0343,7,Dress,XXXL,Navy Blue
SET351-KR-NP-XS,SET351,38,Set,XS,Black
JNE3503-KR-M,JNE3503,1,Kurta,M,Light Green
SET395-KR-NP-S,SET395,78,Kurta Set,S,Sea Green
MEN5003-KR-XXXL,MEN5003,11,Kurta,XXXL,Black
J0250-SKD-XXXL,J0250,28,Kurta Set,XXXL,Olive
SET154-KR-NP-S,SET154,16,Kurta Set,S,Blue
JNE3693-KR-M,JNE3693,2,Kurta,M,Grey
JNE3838-KR-S,JNE3838,41,Kurta,S,Black
JNE3758-KR-S,JNE3758,44,Kurta,S,Maroon
JNE3384-KR-S,JNE3384,17,Kurta,S,Turquoise Blue
JNE3578-KR-S,JNE3578,3,Kurta,S,Yellow
SET102-KR-PP-XXL,SET102,2,Set,XXL,Navy Blue
SET248-KR-NP-M,SET248,7,Kurta Set,M,Teal
MEN5031-KR-XXXL,MEN5031,10,Kurta,XXXL,Maroon
JNE3674-TU-L,JNE3674,29,Top,L,Black
JNE3902-KR-XXL,JNE3902,11,Kurta,XXL,Pink
JNE3386-KR-XS,JNE3386,1,Kurta,XS,Dark Blue
SET229-KR-PP-XL,SET229,18,Kurta Set,XL,Mauve
SET184-KR-PP-L,SET184,11,Kurta Set,L,Teal
JNE3431-KR-XS,JNE3431,8,Kurta,XS,Maroon
BL023-74PINK,BL023,50,Blouse,FREE,Pink
SET245-KR-NP-L,SET245,85,Kurta Set,L,Mustard
JNE3510-KR-S,JNE3510,2,Kurta,S,Grey
JNE3901-KR-XS,JNE3901,58,Kurti,XS,Teal
JNE3726-KR-S,JNE3726,21,Kurta,S,Turquoise
JNE3430-KR-S,JNE3430,15,Kurta,S,Yellow
MEN5012-KR-L,MEN5012,58,Kurta,L,Blue
JNE3671-TU-XL,JNE3671,14,Tunic,XL,Pink
SET340-KR-NP-XXXL,SET340,8,Set,XXXL,Maroon
J0251-SKD-L,J0251,7,Kurta Set,L,Mustard
J0122-TP-XXXL,J0122,4,Top,XXXL,White
J0286-KR-XXL,J0286,3,Kurta,XXL,Beige
NW039-TP-SR-L,NW039,7,Night Wear,L,Yellow
SET341-KR-NP-XXXL,SET341,26,Set,XXXL,Multicolor
SET392-KR-NP-M,SET392,6,Set,M,Peach
AN210-NAVY-XXL,AN210,2,Leggings,XXL,Navy Blue
